what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1312044247095
locale,sysinfo,,,"en_US",1312044247095
processors,sysinfo,,,"2",1312044247095
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1312044247095
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1312044247095
java.specification.name,sysinfo,,,"Java Platform API Specification",1312044247095
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312044247095
java.specification.version,sysinfo,,,"1.6",1312044247095
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312044247095
java.version,sysinfo,,,"1.6.0_20",1312044247095
java.vm.info,sysinfo,,,"mixed mode, sharing",1312044247095
java.vm.name,sysinfo,,,"OpenJDK Client VM",1312044247095
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312044247095
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312044247095
java.vm.specification.version,sysinfo,,,"1.0",1312044247095
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312044247095
java.vm.version,sysinfo,,,"19.0-b09",1312044247095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312044256178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312044401428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312044410343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312044410482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312044422398
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312044425602
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1312044426176
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312044426185
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201106081058,"org.eclipse.cdt.build.crossgcc",1312044426447
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers",1312044426448
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers.ui",1312044426449
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201106081058,"org.eclipse.cdt.codan.ui.cxx",1312044426449
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201106081058,"org.eclipse.cdt.codan.core.cxx",1312044426449
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201106081058,"org.eclipse.cdt.launch.remote",1312044426449
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201106081058,"org.eclipse.cdt.debug.mi.ui",1312044426450
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201106081058,"org.eclipse.cdt.debug.gdbjtag.ui",1312044426451
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.core,8.0.0.201106081058,"org.eclipse.cdt.debug.gdbjtag.core",1312044426451
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201106081058,"org.eclipse.cdt.debug.mi.core",1312044426452
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201106081058,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1312044426453
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201106081058,"org.eclipse.cdt.debug.ui.memory.search",1312044426454
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1312044426455
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.ui",1312044426456
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201106081058,"org.eclipse.cdt.gdb.ui",1312044426457
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201106081058,"org.eclipse.cdt.dsf.gdb",1312044426472
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201106081058,"org.eclipse.cdt.launch",1312044426473
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.0.201106081058,"org.eclipse.cdt.debug.ui",1312044426475
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201106081058,"org.eclipse.cdt.debug.ui.memory.traditional",1312044426478
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201106081058,"org.eclipse.cdt.dsf",1312044426479
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201106081058,"org.eclipse.cdt.debug.core",1312044426480
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.ui",1312044426482
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201106060936,"org.eclipse.linuxtools.cdt.autotools.core",1312044426483
